instance,5c_optimal_value,10c_optimal_value
1,45230136151.00,45230136151.00
2,45527618297.50,45527618297.50
3,40491567167.50,40491567167.50
4,47028311425.00,47028311425.00
5,48345893592.00,48345893592.00
6,48837202156.00,48837202156.00
7,39995415085.00,39995415085.00
8,44836891439.00,44836891439.00
9,52589918393.00,52589918393.00
10,52165903964.00,52165903964.00
11,51161057340.00,51161057340.00
12,46210624297.00,46210624297.00
13,41804926528.50,41804926528.50
14,37103701863.00,37103701863.00
15,36525532137.00,36525532137.00
16,46058550986.50,46058550986.50
17,45554062181.00,45554062181.00
18,43502271378.50,43502271378.50
19,41161630328.00,41161630328.00
20,47005706108.50,47005706108.50
21,45435591702.00,45435591702.00
22,43133493445.00,43133493445.00
23,41594106807.50,41594106807.50
24,42163999937.00,42163999937.00
25,46862568106.50,46862568106.50
26,45998508376.50,45998508376.50
27,48609846199.00,48609846199.00
28,43725904588.50,43725904588.50
29,45380294758.50,45380294758.50
30,43916985244.00,43916985244.00
31,46257116063.00,46257116063.00
32,49277296167.50,49277296167.50
33,49814806861.00,49814806861.00
34,56423938718.00,56423938718.00
35,48863111711.00,48863111711.00
36,46667924108.50,46667924108.50
37,35927125989.00,35927125989.00
38,40886311800.50,40886311800.50
39,44988559956.00,44988559956.00
40,45915688233.00,45915688233.00
41,44886091171.50,44886091171.50
42,44255548294.00,44255548294.00
43,46772951487.00,46772951487.00
44,43197682564.50,43197682564.50
45,40037187872.00,40037187872.00
46,37223625580.00,37223625580.00
47,40885205470.50,40885205470.50
48,42279679698.50,42279679698.50
49,44445554540.00,44445554540.00
50,41491095638.00,41491095638.00
51,46571679039.50,46571679039.50
52,42140375913.00,42140375913.00
53,42057599694.00,42057599694.00
54,39187486066.00,39187486066.00
55,41860347281.50,41860347281.50
56,38936197634.00,38936197634.00
57,37596666236.00,37596666236.00
58,39295085756.50,39295085756.50
59,39616441425.00,39616441425.00
60,38551499562.00,38551499562.00
61,39370738695.00,39370738695.00
62,43724849503.00,43724849503.00
63,44924814434.00,44924814434.00
64,39455500630.00,39455500630.00
65,39440725365.50,39440725365.50
66,38624053080.00,38624053080.00
67,38219675315.00,38219675315.00
68,42827558676.00,42827558676.00
69,39727401397.00,39727401397.00
70,45920500020.00,45920500020.00
71,46889986807.50,46889986807.50
72,53396594146.50,53396594146.50
73,51645699558.50,51645699558.50
74,43764549408.50,43764549408.50
75,43199219337.00,43199219337.00
76,44619629382.00,44619629382.00
77,49675267016.50,49675267016.50
78,45699194607.00,45699194607.00
79,40410551195.00,40410551195.00
80,43777518164.50,43777518164.50
81,40297969816.50,40297969816.50
82,41426280065.00,41426280065.00
83,39290492774.50,39290492774.50
84,43824670095.00,43824670095.00
85,47160326064.50,47160326064.50
86,41035302425.00,41035302425.00
87,46000376053.00,46000376053.00
88,41511858506.50,41511858506.50
89,48301660191.50,48301660191.50
90,46037195585.50,46037195585.50
91,48906386838.00,48906386838.00
92,47414761474.00,47414761474.00
93,45246523851.50,45246523851.50
94,49886246491.50,49886246491.50
95,48186912161.50,48186912161.50
96,52351992942.00,52351992942.00
97,44275311686.00,44275311686.00
98,40879485436.00,40879485436.00
99,39707722286.50,39707722286.50
100,42229584091.00,42229584091.00
101,47244993304.00,47244993304.00
102,44204633318.50,44204633318.50
103,43444369082.00,43444369082.00
104,42628485811.50,42628485811.50
105,38047331230.50,38047331230.50
106,40528394986.50,40528394986.50
107,39679486399.50,39679486399.50
108,41360427557.00,41360427557.00
109,36779569183.50,36779569183.50
110,34315875049.50,34315875049.50
111,37627040925.50,37627040925.50
112,48931669143.00,48931669143.00
113,54296164363.50,54296164363.50
114,58769221783.00,58769221783.00
115,48030590356.50,48030590356.50
116,47178873390.00,47178873390.00
117,42343673459.00,42343673459.00
118,48338664230.50,48338664230.50
119,42539608851.00,42539608851.00
120,47434974490.50,47434974490.50
121,50064934481.00,50064934481.00
122,54979585626.00,54979585626.00
123,50063867568.00,50063867568.00
124,47498656327.50,47498656327.50
125,50283226872.50,50283226872.50
126,47968403926.50,47968403926.50
127,47875516811.50,47875516811.50
128,39545574595.00,39545574595.00
129,40387739092.50,40387739092.50
130,41075855603.00,41075855603.00
131,46366552387.50,46366552387.50
132,43959920810.50,43959920810.50
133,45987146294.50,45987146294.50
134,38322705233.00,38322705233.00
135,41881993577.50,41881993577.50
136,35055283182.50,35055283182.50
137,38045003309.00,38045003309.00
138,34401433772.00,34401433772.00
139,44859486248.50,44859486248.50
140,48000096620.00,48000096620.00
141,54814419879.50,54814419879.50
142,49961937044.50,49961937044.50
143,49722375833.50,49722375833.50
144,46506282437.00,46506282437.00
145,48476454344.50,48476454344.50
146,42331663020.00,42331663020.00
147,42856344283.00,42856344283.00
148,41225356016.00,41225356016.00
149,47096525598.00,47096525598.00
150,46640792205.50,46640792205.50
151,46741507138.00,46741507138.00
152,46093298784.00,46093298784.00
153,48245408080.50,48245408080.50
154,44561919338.50,44561919338.50
155,40272890418.00,40272890418.00
156,39195131653.50,39195131653.50
157,44363746889.50,44363746889.50
158,50915381449.00,50915381449.00
159,54900433945.00,54900433945.00
160,51361853681.00,51361853681.00
161,48318834427.00,48318834427.00
162,53658570499.00,53658570499.00
163,48496536041.00,48496536041.00
164,47587893842.00,47587893842.00
165,43424235164.00,43424235164.00
166,49585354574.00,49585354574.00
167,48710142190.00,48710142190.00
168,40410272370.50,40410272370.50
169,37035998008.50,37035998008.50
170,40435843624.50,40435843624.50
171,42623891078.50,42623891078.50
172,48187561432.00,48187561432.00
173,49113617759.50,49113617759.50
174,54053573419.50,54053573419.50
175,50177581457.50,50177581457.50
176,48786646455.00,48786646455.00
177,48353099804.00,48353099804.00
178,48191166804.50,48191166804.50
179,46036142693.00,46036142693.00
180,44641710563.50,44641710563.50
181,44570862288.00,44570862288.00
182,46699783741.50,46699783741.50
183,43489862479.50,43489862479.50
184,41407928191.00,41407928191.00
185,40062967713.00,40062967713.00
186,44942472255.50,44942472255.50
187,38054862520.50,38054862520.50
188,38134714635.50,38134714635.50
189,37789153857.00,37789153857.00
190,43900928079.00,43900928079.00
191,46640626328.00,46640626328.00
192,45589812609.00,45589812609.00
193,50703411073.00,50703411073.00
194,45579220851.50,45579220851.50
195,42674838738.00,42674838738.00
196,39804985792.00,39804985792.00
197,45045388835.00,45045388835.00
198,47791079054.00,47791079054.00
199,45561120583.50,45561120583.50
200,45280913835.00,45280913835.00
201,45395020423.50,45395020423.50
202,48844031913.00,48844031913.00
203,49160734872.50,49160734872.50
204,48587613022.00,48587613022.00
205,48062942228.50,48062942228.50
206,45402553986.50,45402553986.50
207,47406184113.00,47406184113.00
208,50767989429.00,50767989429.00
209,51597197529.00,51597197529.00
210,47472627154.00,47472627154.00
211,43721285777.00,43721285777.00
212,44420528593.00,44420528593.00
213,46584737717.00,46584737717.00
214,46038742052.50,46038742052.50
215,38409169897.00,38409169897.00
216,39530396197.50,39530396197.50
217,42025249423.00,42025249423.00
218,53065304479.50,53065304479.50
219,51458053621.50,51458053621.50
220,48395417912.50,48395417912.50
221,42288393012.50,42288393012.50
222,40664788984.50,40664788984.50
223,38778811994.50,38778811994.50
224,47837662278.50,47837662278.50
225,49971550710.50,49971550710.50
226,53166408746.50,53166408746.50
227,47915040404.00,47915040404.00
228,43816096882.50,43816096882.50
229,45018643883.00,45018643883.00
230,42927075223.50,42927075223.50
231,43097427421.00,43097427421.00
232,38925096179.50,38925096179.50
233,35127412859.00,35127412859.00
234,41003461802.50,41003461802.50
235,48558652494.00,48558652494.00
236,56112577331.50,56112577331.50
237,49417786932.00,49417786932.00
238,39166561603.00,39166561603.00
239,39171848479.00,39171848479.00
240,42824804710.00,42824804710.00
241,42269491562.00,42269491562.00
242,35174265860.00,35174265860.00
243,33099872541.50,33099872541.50
244,37375591457.00,37375591457.00
245,45608611760.00,45608611760.00
246,51359181429.00,51359181429.00
247,55057762187.00,55057762187.00
248,51604947439.00,51604947439.00
249,47795252718.50,47795252718.50
250,45525703254.50,45525703254.50
251,45699519083.00,45699519083.00
252,46619850272.00,46619850272.00
253,50912692624.00,50912692624.00
254,46404577285.50,46404577285.50
255,43063933977.50,43063933977.50
256,39746280811.50,39746280811.50
257,42420808390.00,42420808390.00
258,46098546597.50,46098546597.50
259,45747470734.50,45747470734.50
260,44303545190.00,44303545190.00
261,39005439858.50,39005439858.50
262,39245493114.00,39245493114.00
263,39559005089.00,39559005089.00
264,38992723752.50,38992723752.50
265,33679278375.00,33679278375.00
266,39218674770.00,39218674770.00
267,45098888637.00,45098888637.00
268,47469685616.50,47469685616.50
269,40650378604.50,40650378604.50
270,42639673114.50,42639673114.50
271,36869544264.50,36869544264.50
272,40998733663.00,40998733663.00
273,31733413484.50,31733413484.50
274,40717590881.00,40717590881.00
275,42139927191.50,42139927191.50
276,47771201962.00,47771201962.00
277,43980436546.00,43980436546.00
278,42240456722.00,42240456722.00
279,42195051853.00,42195051853.00
280,41546017083.50,41546017083.50
281,41474326741.50,41474326741.50
282,43429376134.00,43429376134.00
283,44471195076.50,44471195076.50
284,52933038662.00,52933038662.00
285,47873779781.00,47873779781.00
286,48382227375.00,48382227375.00
287,40800113560.00,40800113560.00
288,40495478754.00,40495478754.00
289,41747279309.00,41747279309.00
290,45182561106.00,45182561106.00
291,49610879964.00,49610879964.00
292,48425064140.00,48425064140.00
293,50595430760.50,50595430760.50
294,42507579282.00,42507579282.00
295,46705454055.50,46705454055.50
296,39719785712.00,39719785712.00
297,44429220663.50,44429220663.50
298,43853148637.00,43853148637.00
299,43902953375.00,43902953375.00
300,38336619794.50,38336619794.50
301,39338139084.00,39338139084.00
302,39298678250.00,39298678250.00
303,44500960326.00,44500960326.00
304,47135889821.00,47135889821.00
305,47206224115.00,47206224115.00
306,49558194874.50,49558194874.50
307,45384320680.50,45384320680.50
308,49884797666.00,49884797666.00
309,47764788290.50,47764788290.50
310,49763724875.00,49763724875.00
311,47163216445.50,47163216445.50
312,47893054238.50,47893054238.50
313,46625656848.50,46625656848.50
314,46215536011.50,46215536011.50
315,44522512020.50,44522512020.50
316,42824968178.00,42824968178.00
317,46750053216.00,46750053216.00
318,45607708778.50,45607708778.50
319,48885372445.50,48885372445.50
320,48303888766.50,48303888766.50
321,44104838344.50,44104838344.50
322,42042986340.50,42042986340.50
323,37154594001.50,37154594001.50
324,39098807351.50,39098807351.50
325,42595462882.50,42595462882.50
326,44200889025.50,44200889025.50
327,46011653471.50,46011653471.50
328,43785702443.00,43785702443.00
329,39670026667.50,39670026667.50
330,34589764135.50,34589764135.50
331,34034508553.00,34034508553.00
332,37960176567.00,37960176567.00
333,44320191137.00,44320191137.00
334,42470220474.50,42470220474.50
335,35569915307.50,35569915307.50
336,35079972558.00,35079972558.00
337,42775753027.50,42775753027.50
338,46826960938.50,46826960938.50
339,45353165990.00,45353165990.00
340,46082236911.50,46082236911.50
341,50994857845.00,50994857845.00
342,50810288135.00,50810288135.00
343,46376014553.00,46376014553.00
344,43146048619.50,43146048619.50
345,40466335693.50,40466335693.50
346,39797006461.50,39797006461.50
347,43791663800.00,43791663800.00
348,42345884984.00,42345884984.00
349,43559380086.00,43559380086.00
350,43714089585.00,43714089585.00
351,46438528930.00,46438528930.00
352,46260942524.00,46260942524.00
