,instance,arrival_pfizer,arrival_moderna,arrival_astrazeneca,first_doses_Pfizer,second_doses_Pfizer,stock_values_Pfizer,first_doses_Moderna,second_doses_Moderna,stock_values_Moderna,first_doses_Astrazeneca,second_doses_Astrazeneca,stock_values_Astrazeneca,capacity
0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39554528
1,2,0,0,9995678,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9995677.0,39554528
2,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9995677.0,39554528
3,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9995677.0,39554528
4,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9995677.0,39554528
5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9995677.0,39554528
6,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9995677.0,0.0,0.0,39554528
7,8,0,0,9996683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9996683.0,39554528
8,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9996683.0,39554528
9,10,9998379,0,0,9998378.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9996683.0,39554528
10,11,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9996683.0,39554528
11,12,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9996683.0,39554528
12,13,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9996683.0,39554528
13,14,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,9996683.0,0.0,0.0,39554528
14,15,9993793,0,0,9993793.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39554528
15,16,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39554528
16,17,9999184,0,0,9999184.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39554528
17,18,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39554528
18,19,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39554528
19,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39554528
20,21,0,0,10002324,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10002324.0,39554528
21,22,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10002324.0,39554528
22,23,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,5014161.0,0.0,4988163.0,39554528
23,24,9999370,0,0,9999370.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4988163.0,39554528
24,25,10004589,0,0,1.0,0.0,10004589.0,0.0,0.0,0.0,0.0,0.0,4988163.0,39554528
25,26,0,0,0,0.0,0.0,10004589.0,0.0,0.0,0.0,0.0,0.0,4988163.0,39554528
26,27,0,0,9998812,8760.0,0.0,9995829.0,0.0,0.0,0.0,9999947.0,0.0,4987028.0,39554528
27,28,0,0,0,0.0,0.0,9995829.0,0.0,0.0,0.0,0.0,0.0,4987028.0,39554528
28,29,0,0,9996886,0.0,0.0,9995829.0,0.0,0.0,0.0,0.0,0.0,14983914.0,39554528
29,30,9998524,0,0,0.0,0.0,19994353.0,0.0,0.0,0.0,0.0,0.0,14983914.0,39554528
30,31,0,0,0,0.0,9998378.0,9995975.0,0.0,0.0,0.0,0.0,0.0,14983914.0,39554528
31,32,0,0,0,0.0,0.0,9995975.0,0.0,0.0,0.0,0.0,0.0,14983914.0,39554528
32,33,0,0,0,0.0,0.0,9995975.0,0.0,0.0,0.0,0.0,0.0,14983914.0,39554528
33,34,0,0,0,0.0,0.0,9995975.0,0.0,0.0,0.0,0.0,0.0,14983914.0,39554528
34,35,0,0,10001390,0.0,0.0,9995975.0,0.0,0.0,0.0,0.0,0.0,24985304.0,39554528
35,36,9997003,10002510,10001791,1.0,9993793.0,9999184.0,10002508.0,0.0,2.0,10000533.0,0.0,24986562.0,39554528
36,37,0,0,0,0.0,0.0,9999184.0,0.0,0.0,2.0,0.0,0.0,24986562.0,39554528
37,38,0,0,0,0.0,9999184.0,0.0,0.0,0.0,2.0,0.0,0.0,24986562.0,39554528
38,39,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24986562.0,39554528
39,40,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24986562.0,39554528
40,41,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24986562.0,39554528
41,42,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24986562.0,39554528
42,43,0,9998505,9999895,0.0,0.0,0.0,9998506.0,0.0,1.0,9993623.0,0.0,24992834.0,39554528
43,44,0,0,10000278,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34993112.0,39554528
44,45,10000724,0,0,0.0,9999370.0,1354.0,0.0,0.0,1.0,0.0,0.0,34993112.0,39554528
45,46,0,0,0,1353.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,34993112.0,39554528
46,47,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,9996837.0,0.0,24996275.0,39554528
47,48,9997895,0,0,9989134.0,8760.0,1.0,0.0,0.0,1.0,0.0,0.0,24996275.0,39554528
48,49,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,24996275.0,39554528
49,50,0,9999853,0,0.0,0.0,1.0,1.0,0.0,9999853.0,0.0,0.0,24996275.0,39554528
50,51,0,0,0,0.0,0.0,1.0,0.0,0.0,9999853.0,0.0,0.0,24996275.0,39554528
51,52,0,0,0,0.0,0.0,1.0,0.0,0.0,9999853.0,0.0,0.0,24996275.0,39554528
52,53,0,0,0,0.0,0.0,1.0,0.0,0.0,9999853.0,0.0,0.0,24996275.0,39554528
53,54,0,0,0,0.0,0.0,1.0,0.0,0.0,9999853.0,0.0,0.0,24996275.0,39554528
54,55,0,0,0,0.0,0.0,1.0,0.0,0.0,9999853.0,0.0,0.0,24996275.0,39554528
55,56,0,9997446,0,0.0,0.0,1.0,0.0,0.0,19997299.0,0.0,0.0,24996275.0,39554528
56,57,0,0,0,0.0,1.0,0.0,0.0,0.0,19997299.0,0.0,0.0,24996275.0,39554528
57,58,0,10000938,0,0.0,0.0,0.0,0.0,0.0,29998237.0,0.0,0.0,24996275.0,39554528
58,59,0,0,0,0.0,0.0,0.0,9997424.0,0.0,20000813.0,0.0,0.0,24996275.0,39554528
59,60,0,0,0,0.0,0.0,0.0,0.0,0.0,20000813.0,0.0,0.0,24996275.0,39554528
60,61,0,9999630,0,0.0,0.0,0.0,0.0,0.0,30000443.0,0.0,0.0,24996275.0,39554528
61,62,0,0,0,0.0,0.0,0.0,0.0,0.0,30000443.0,9994777.0,0.0,15001498.0,39554528
62,63,0,0,9994930,0.0,0.0,0.0,0.0,0.0,30000443.0,0.0,0.0,24996428.0,39554528
63,64,0,0,0,0.0,0.0,0.0,0.0,10002508.0,19997935.0,0.0,0.0,24996428.0,39554528
64,65,10000135,0,0,10000135.0,0.0,0.0,0.0,0.0,19997935.0,0.0,0.0,24996428.0,39554528
65,66,0,0,10001744,0.0,0.0,0.0,9999428.0,0.0,9998507.0,0.0,0.0,34998172.0,39554528
66,67,10000632,0,0,10145.0,1353.0,9989134.0,0.0,0.0,9998507.0,0.0,0.0,34998172.0,39554528
67,68,0,0,9998781,0.0,0.0,9989134.0,0.0,0.0,9998507.0,0.0,0.0,44996953.0,39554528
68,69,0,0,0,0.0,9989134.0,0.0,0.0,0.0,9998507.0,10002640.0,0.0,34994313.0,39554528
69,70,0,0,0,0.0,0.0,0.0,0.0,0.0,9998507.0,10003478.0,0.0,24990835.0,39554528
70,71,0,0,0,0.0,0.0,0.0,0.0,9998506.0,1.0,0.0,0.0,24990835.0,39554528
71,72,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,9997258.0,0.0,14993577.0,39554528
72,73,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14993577.0,39554528
73,74,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14993577.0,39554528
74,75,10002929,0,0,9993591.0,0.0,9338.0,0.0,0.0,1.0,0.0,0.0,14993577.0,39554528
75,76,0,0,0,0.0,0.0,9338.0,0.0,0.0,1.0,10000097.0,0.0,4993480.0,39554528
76,77,0,0,0,0.0,0.0,9338.0,0.0,0.0,1.0,0.0,0.0,4993480.0,39554528
77,78,9999907,0,0,0.0,0.0,10009245.0,0.0,1.0,0.0,0.0,0.0,4993480.0,39554528
78,79,0,0,0,0.0,0.0,10009245.0,0.0,0.0,0.0,4993479.0,0.0,1.0,39554528
79,80,0,0,0,0.0,0.0,10009245.0,0.0,0.0,0.0,0.0,1.0,0.0,39554528
80,81,0,0,10001510,0.0,0.0,10009245.0,0.0,0.0,0.0,10001510.0,0.0,0.0,39554528
81,82,0,0,0,0.0,0.0,10009245.0,0.0,0.0,0.0,0.0,0.0,0.0,39554528
82,83,0,0,0,0.0,0.0,10009245.0,0.0,0.0,0.0,0.0,0.0,0.0,39554528
83,84,0,0,0,0.0,0.0,10009245.0,0.0,0.0,0.0,0.0,0.0,0.0,39554528
84,85,0,0,10002915,9995856.0,0.0,13389.0,0.0,0.0,0.0,7237.0,9995677.0,1.0,39554528
85,86,9996891,10002629,0,0.0,10000135.0,10145.0,10002629.0,0.0,0.0,0.0,0.0,1.0,39554528
86,87,0,9997424,0,0.0,0.0,10145.0,0.0,9997424.0,0.0,0.0,0.0,1.0,39554528
87,88,0,0,0,0.0,10145.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39554528
88,89,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39554528
89,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39554528
90,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39554528
91,92,0,0,10003866,0.0,0.0,0.0,0.0,0.0,0.0,7184.0,9996683.0,0.0,39554528
92,93,9993591,0,10001681,0.0,0.0,9993591.0,0.0,0.0,0.0,10001680.0,0.0,1.0,39554528
93,94,0,10006124,0,0.0,0.0,9993591.0,6696.0,9999428.0,0.0,1.0,0.0,0.0,39554528
94,95,0,0,0,0.0,0.0,9993591.0,0.0,0.0,0.0,0.0,0.0,0.0,39554528
95,96,0,0,0,0.0,9993591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39554528
96,97,0,10002129,0,0.0,0.0,0.0,10002128.0,0.0,1.0,0.0,0.0,0.0,39554528
97,98,0,0,10001188,0.0,0.0,0.0,0.0,0.0,1.0,10001188.0,0.0,0.0,39554528
98,99,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39554528
99,100,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39554528
