,instance,arrival_pfizer,arrival_moderna,arrival_astrazeneca,first_doses_Pfizer,second_doses_Pfizer,stock_values_Pfizer,first_doses_Moderna,second_doses_Moderna,stock_values_Moderna,first_doses_Astrazeneca,second_doses_Astrazeneca,stock_values_Astrazeneca,capacity
0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3944726
1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3944726
2,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3944726
3,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3944726
4,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3944726
5,6,9996497,0,0,2402976.00000001,0.0,7593520.999999992,0.0,0.0,0.0,0.0,0.0,0.0,3944726
6,7,10002828,9995375,0,-0.0,0.0,17596348.999999993,3944724.9999999967,0.0,6050650.000000002,0.0,0.0,0.0,3944726
7,8,0,0,0,-0.0,0.0,17596348.999999993,3039565.00000005,0.0,3011084.9999999553,0.0,0.0,0.0,3944726
8,9,0,0,0,-0.0,0.0,17596348.999999993,100867.0,0.0,2910217.9999999586,0.0,0.0,0.0,3944726
9,10,0,0,0,-0.0,0.0,17596348.999999993,2910217.9999999567,0.0,0.0,0.0,0.0,0.0,3944726
10,11,0,0,0,-0.0,0.0,17596348.999999993,-0.0,0.0,0.0,0.0,0.0,0.0,3944726
11,12,0,0,0,-0.0,0.0,17596348.999999993,-0.0,0.0,0.0,0.0,0.0,0.0,3944726
12,13,0,0,0,-0.0,0.0,17596348.999999993,-0.0,0.0,-0.0,0.0,0.0,0.0,3944726
13,14,0,0,0,-0.0,0.0,17596348.999999993,-0.0,0.0,0.0,0.0,0.0,0.0,3944726
14,15,0,0,0,-0.0,0.0,17596348.999999993,-0.0,0.0,-0.0,0.0,0.0,0.0,3944726
15,16,0,0,0,-0.0,0.0,17596348.999999993,-0.0,0.0,0.0,0.0,0.0,0.0,3944726
16,17,0,0,0,-0.0,0.0,17596348.999999993,-0.0,0.0,-0.0,0.0,0.0,0.0,3944726
17,18,0,10006839,0,-0.0,0.0,17596348.999999993,3944726.0,0.0,6062113.0,0.0,0.0,0.0,3944726
18,19,0,0,0,-0.0,0.0,17596348.999999993,0.0,0.0,6062113.0,0.0,0.0,0.0,3944726
19,20,0,0,0,-0.0,0.0,17596348.999999993,3377196.0000000107,0.0,2684916.999999993,0.0,0.0,0.0,3944726
20,21,0,0,0,-0.0,0.0,17596348.999999993,1116881.9999999863,0.0,1568035.0000000033,0.0,0.0,0.0,3944726
21,22,0,10007285,0,-0.0,0.0,17596348.999999993,-0.0,0.0,11575320.000000004,0.0,0.0,0.0,3944726
22,23,0,0,0,-0.0,0.0,17596348.999999993,-2.1566126510327876e-09,0.0,11575320.000000002,0.0,0.0,0.0,3944726
23,24,0,0,0,-0.0,0.0,17596348.999999993,43978.00000000588,0.0,11531342.0,0.0,0.0,0.0,3944726
24,25,0,10001203,0,-0.0,0.0,17596348.999999993,3944726.0,0.0,17587819.0,0.0,0.0,0.0,3944726
25,26,0,0,0,-0.0,0.0,17596348.99999999,3944726.0,0.0,13643093.0,0.0,0.0,0.0,3944726
26,27,0,0,0,-0.0,2402976.0000000047,15193372.99999998,1541749.9999999895,0.0,12101343.000000011,0.0,0.0,0.0,3944726
27,28,0,0,0,-0.0,-0.0,15193372.99999998,2237824.9999999953,0.0,9863518.000000013,0.0,0.0,0.0,3944726
28,29,0,0,0,-0.0,-0.0,15193372.99999998,3116871.0000000275,0.0,6746646.999999989,0.0,0.0,0.0,3944726
29,30,0,0,9996802,-0.0,-0.0,15193372.99999998,-0.0,0.0,6746646.999999991,712513.0,0.0,9284289.0,3944726
30,31,0,0,0,-0.0,-0.0,15193372.99999998,-0.0,0.0,6746646.999999991,990529.0,0.0,8293760.0,3944726
31,32,0,0,0,-0.0,-0.0,15193372.99999998,-0.0,0.0,6746646.999999992,3944726.0,0.0,4349034.0,3944726
32,33,0,10002127,0,-0.0,-0.0,15193372.999999978,1667912.999999996,0.0,15080860.999999996,2276813.0000000033,0.0,2072221.0,3944726
33,34,0,0,0,1872505.000000002,-0.0,13320867.999999976,-0.0,0.0,15080860.999999996,2072220.999999998,0.0,0.0,3944726
34,35,0,0,0,-0.0,-0.0,13320867.999999974,1.000000003087935,3944724.9999999986,11136134.999999994,-0.0,0.0,0.0,3944726
35,36,0,0,0,827853.9999999644,-0.0,12493014.000000007,77306.99999998685,3039565.0000000447,8019262.999999958,-0.0,0.0,-0.0,3944726
36,37,0,0,0,3843859.0,-0.0,8649155.000000006,-0.0,100867.0,7918395.99999996,-0.0,0.0,0.0,3944726
37,38,0,0,0,1034507.0000000078,-0.0,7614648.0,-0.0,2910217.999999962,5008178.000000001,-0.0,0.0,-0.0,3944726
38,39,0,0,0,3944726.0,-0.0,3669922.0,-0.0,-0.0,5008178.0,-0.0,0.0,-0.0,3944726
39,40,0,0,9994518,0.0,-0.0,3669922.0,-0.0,-0.0,5008178.0,3944726.0,0.0,6049792.0,3944726
40,41,0,0,0,0.0,-0.0,3669922.0,-0.0,-0.0,5008178.0,3944726.0,0.0,2105066.0,3944726
41,42,0,9997232,10003916,0.0,-0.0,3669922.0,-0.0,-0.0,15005410.0,3944726.0,0.0,8164256.000000001,3944726
42,43,0,0,0,2270882.0000000033,-0.0,1399039.9999999986,-0.0,-0.0,15005410.0,1673843.999999997,0.0,6490412.000000002,3944726
43,44,0,0,0,1399039.999999996,-0.0,0.0,-0.0,-0.0,15005410.0,2545686.0000000033,0.0,3944726.0,3944726
44,45,0,10008492,0,0.0,-0.0,0.0,-0.0,-0.0,25013902.0,3944726.0,0.0,-0.0,3944726
45,46,0,0,0,-0.0,-0.0,-0.0,-0.0,3944726.0,21069176.0,-0.0,0.0,0.0,3944726
46,47,10001495,0,0,3944726.0,-0.0,6056769.0,-0.0,0.0,21069176.0,-0.0,0.0,-0.0,3944726
47,48,0,0,0,567529.9999999886,-0.0,5489239.000000009,-0.0,3377196.0000000056,17691979.99999999,-0.0,0.0,-0.0,3944726
48,49,0,0,9997901,377811.0000000053,-0.0,5111428.000000003,-0.0,1116881.9999999905,16575098.000000002,2450033.000000006,0.0,7547867.999999995,3944726
