,giorno,ndosi,5c_second_doses_Pfizer,5c_stock_values_Pfizer,5c_second_doses_Moderna,5c_stock_values_Moderna,5c_second_doses_Astrazeneca,5c_stock_values_Astrazeneca,10c_second_doses_Pfizer,10c_stock_values_Pfizer,10c_second_doses_Moderna,10c_stock_values_Moderna,10c_second_doses_Astrazeneca,10c_stock_values_Astrazeneca
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0,0.0,0.0,0.0,0.0,0.0,9992429.0,0.0,0.0,0.0,0.0,0.0,9992429.0
15,15,0,0.0,0.0,0.0,0.0,0.0,19990384.0,0.0,0.0,0.0,0.0,0.0,19990384.0
16,16,0,0.0,0.0,0.0,0.0,0.0,9983802.0,0.0,0.0,0.0,0.0,0.0,9983802.0
17,17,0,0.0,0.0,0.0,0.0,0.0,9983802.0,0.0,0.0,0.0,0.0,0.0,9983802.0
18,18,10001665,0.0,0.0,0.0,0.0,0.0,9988543.0,0.0,0.0,0.0,0.0,0.0,9988543.0
19,19,0,0.0,0.0,0.0,0.0,0.0,19985167.0,0.0,0.0,0.0,0.0,0.0,19985167.0
20,20,9996411,0.0,0.0,0.0,0.0,0.0,29989349.0,0.0,0.0,0.0,0.0,0.0,29989349.0
21,21,0,0.0,0.0,0.0,0.0,0.0,29989349.0,0.0,0.0,0.0,0.0,0.0,29989349.0
22,22,0,0.0,0.0,0.0,0.0,0.0,29989349.0,0.0,0.0,0.0,0.0,0.0,29989349.0
23,23,0,0.0,0.0,0.0,0.0,0.0,19986888.0,0.0,0.0,0.0,0.0,0.0,19986888.0
24,24,0,0.0,0.0,0.0,0.0,0.0,9993097.0,0.0,0.0,0.0,0.0,0.0,9993097.0
25,25,0,0.0,0.0,0.0,0.0,0.0,9993097.0,0.0,0.0,0.0,0.0,0.0,9993097.0
26,26,9997346,0.0,5000254.0,0.0,0.0,0.0,9993097.0,0.0,5000254.0,0.0,0.0,0.0,9993097.0
27,27,0,0.0,5000254.0,0.0,0.0,0.0,9993097.0,0.0,5000254.0,0.0,0.0,0.0,9993097.0
28,28,0,0.0,5000254.0,0.0,0.0,0.0,9993097.0,0.0,5000254.0,0.0,0.0,0.0,9993097.0
29,29,0,0.0,5000254.0,0.0,0.0,0.0,9993097.0,0.0,5000254.0,0.0,0.0,0.0,9993097.0
30,30,0,0.0,5000254.0,0.0,4999789.0,0.0,9993097.0,0.0,5000254.0,0.0,4999789.0,0.0,9993097.0
31,31,0,0.0,5000254.0,0.0,4999789.0,0.0,9993097.0,0.0,5000254.0,0.0,4999789.0,0.0,9993097.0
32,32,0,0.0,5000254.0,0.0,0.0,0.0,9993097.0,0.0,5000254.0,0.0,0.0,0.0,9993097.0
33,33,0,0.0,5000254.0,0.0,0.0,0.0,9993097.0,0.0,5000254.0,0.0,0.0,0.0,9993097.0
34,34,0,0.0,5000254.0,0.0,0.0,0.0,9993097.0,0.0,5000254.0,0.0,0.0,0.0,9993097.0
35,35,0,0.0,5000254.0,0.0,0.0,0.0,9993097.0,0.0,5000254.0,0.0,0.0,0.0,9993097.0
36,36,0,0.0,5000254.0,0.0,0.0,0.0,9993097.0,0.0,5000254.0,0.0,0.0,0.0,9993097.0
37,37,0,0.0,5000254.0,0.0,0.0,0.0,9993097.0,0.0,5000254.0,0.0,0.0,0.0,9993097.0
38,38,0,0.0,5000254.0,0.0,0.0,0.0,9993097.0,0.0,5000254.0,0.0,0.0,0.0,9993097.0
39,39,9990495,10001665.0,4989084.0,0.0,0.0,0.0,9993097.0,10001665.0,4989084.0,0.0,0.0,0.0,9993097.0
40,40,0,0.0,4989084.0,0.0,0.0,0.0,9993097.0,0.0,4989084.0,0.0,0.0,0.0,9993097.0
41,41,10004419,9996411.0,4997092.0,0.0,0.0,0.0,9993097.0,9996411.0,4997092.0,0.0,0.0,0.0,9993097.0
42,42,0,0.0,4997092.0,0.0,0.0,0.0,9993097.0,0.0,4997092.0,0.0,0.0,0.0,9993097.0
43,43,0,0.0,4997092.0,0.0,0.0,0.0,9993097.0,0.0,4997092.0,0.0,0.0,0.0,9993097.0
44,44,0,0.0,4997092.0,0.0,0.0,9991075.0,2022.0,0.0,4997092.0,0.0,0.0,9991075.0,2022.0
45,45,0,0.0,4997092.0,0.0,0.0,0.0,2022.0,0.0,4997092.0,0.0,0.0,0.0,2022.0
46,46,0,0.0,4997092.0,0.0,0.0,0.0,10003530.0,0.0,4997092.0,0.0,0.0,0.0,10003530.0
47,47,0,4997092.0,0.0,0.0,0.0,0.0,10003530.0,4997092.0,0.0,0.0,0.0,0.0,10003530.0
48,48,0,0.0,0.0,0.0,0.0,9995887.0,7643.0,0.0,0.0,0.0,0.0,9995887.0,7643.0
49,49,0,0.0,0.0,0.0,0.0,0.0,7643.0,0.0,0.0,0.0,0.0,0.0,7643.0
50,50,0,0.0,0.0,0.0,0.0,0.0,7643.0,0.0,0.0,0.0,0.0,0.0,7643.0
51,51,0,0.0,0.0,0.0,4998106.0,0.0,7643.0,0.0,0.0,0.0,4998106.0,0.0,7643.0
52,52,0,0.0,0.0,0.0,4998106.0,0.0,7643.0,0.0,0.0,0.0,4998106.0,0.0,7643.0
53,53,0,0.0,0.0,0.0,4998106.0,0.0,7643.0,0.0,0.0,0.0,4998106.0,0.0,7643.0
54,54,0,0.0,0.0,10004553.0,5002835.0,7643.0,0.0,0.0,0.0,10004553.0,5002835.0,7643.0,0.0
55,55,0,0.0,0.0,0.0,5002835.0,0.0,0.0,0.0,0.0,0.0,5002835.0,0.0,0.0
56,56,0,0.0,0.0,0.0,5002835.0,10006582.0,0.0,0.0,0.0,0.0,5002835.0,10006582.0,0.0
57,57,0,0.0,0.0,0.0,5002835.0,0.0,0.0,0.0,0.0,0.0,5002835.0,0.0,0.0
58,58,0,0.0,0.0,5002835.0,0.0,9995451.0,0.0,0.0,0.0,5002835.0,0.0,9995451.0,0.0
59,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,0,0.0,0.0,4999789.0,4998700.0,0.0,0.0,0.0,0.0,4999789.0,4998700.0,0.0,0.0
61,61,0,0.0,0.0,0.0,14996700.0,0.0,0.0,0.0,0.0,0.0,14996700.0,0.0,0.0
62,62,0,0.0,0.0,0.0,4995854.0,0.0,0.0,0.0,0.0,0.0,4995854.0,0.0,0.0
63,63,0,0.0,0.0,0.0,4995854.0,10002461.0,0.0,0.0,0.0,0.0,4995854.0,10002461.0,0.0
64,64,0,0.0,0.0,0.0,4995854.0,9993791.0,0.0,0.0,0.0,0.0,4995854.0,9993791.0,0.0
65,65,0,0.0,0.0,0.0,14994876.0,0.0,0.0,0.0,0.0,0.0,14994876.0,0.0,0.0
66,66,0,0.0,0.0,0.0,14994876.0,0.0,0.0,0.0,0.0,0.0,14994876.0,0.0,0.0
67,67,0,0.0,0.0,0.0,24999979.0,0.0,9996897.0,0.0,0.0,0.0,24999979.0,0.0,9996897.0
68,68,0,0.0,0.0,0.0,15001696.0,0.0,0.0,0.0,0.0,0.0,15001696.0,0.0,0.0
69,69,0,0.0,0.0,0.0,15001696.0,0.0,0.0,0.0,0.0,0.0,15001696.0,0.0,0.0
70,70,0,0.0,0.0,9997364.0,5004332.0,0.0,0.0,0.0,0.0,9997364.0,5004332.0,0.0,0.0
71,71,0,0.0,0.0,0.0,5004332.0,0.0,0.0,0.0,0.0,0.0,5004332.0,0.0,0.0
72,72,10002669,0.0,4998370.5,0.0,5004332.0,0.0,0.0,0.0,4998370.5,0.0,5004332.0,0.0,0.0
73,73,0,0.0,0.0,0.0,5004332.0,0.0,0.0,0.0,0.0,0.0,5004332.0,0.0,0.0
74,74,0,0.0,0.0,0.0,15004675.0,0.0,0.0,0.0,0.0,0.0,15004675.0,0.0,0.0
75,75,0,0.0,0.0,0.0,15004675.0,0.0,0.0,0.0,0.0,0.0,15004675.0,0.0,0.0
76,76,9998522,0.0,4999165.5,0.0,15004675.0,0.0,0.0,0.0,4999165.5,0.0,15004675.0,0.0,0.0
