instance,optimal_value,heuristic_value
5,104.5696,180.0
10,104.105,179.9683
15,104.7638,179.9862
20,103.9852,179.9818
25,106.2211,180.0
30,105.192,179.9724
35,100.8925,179.9879
40,99.3399,179.977
45,100.2817,179.9852
50,101.2854,180.0
55,105.1412,179.984
60,100.6254,180.0
65,98.2663,180.0
70,97.9324,180.0
75,106.6468,179.9857
80,103.8465,180.0
85,98.5104,180.0
90,102.297,179.9862
95,106.3872,179.9833
100,109.9268,179.9857
105,106.0116,180.0
110,97.774,180.0
115,110.2676,180.0
120,99.5892,179.9724
125,106.8659,180.0
130,101.6531,179.9755
135,102.4798,179.9703
140,107.6447,180.0
145,108.8212,180.0
150,102.6037,179.9724
155,104.1858,179.9862
160,102.4218,179.9846
165,103.1714,180.0
170,101.2057,179.984
175,109.2001,179.9707
180,103.781,180.0
185,97.2824,180.0
190,100.6038,179.9717
195,103.803,180.0
200,97.7399,180.0
205,105.1587,180.0
210,107.4889,179.9889
215,104.9404,179.984
220,98.1628,179.9867
225,99.7699,179.9709
230,103.9418,180.0
235,97.8969,179.9469
240,99.8439,179.9871
245,88.9898,180.0
250,109.3071,180.0
255,106.6628,179.9852
260,99.6485,179.9871
265,100.2742,180.0
270,104.9425,179.9852
275,107.9118,180.0
280,114.4178,180.0
285,101.5589,179.9875
290,105.8203,179.9826
295,113.2494,180.0
300,109.8891,179.9778
305,109.1994,180.0
310,104.8513,179.9871
315,106.3441,179.9714
320,105.3864,179.9697
325,112.5026,179.9826
330,108.4306,179.9852
335,100.9736,179.9778
340,102.3049,179.981
345,107.2282,180.0
350,104.9966,179.9658
355,105.8489,180.0
360,103.8975,179.9882
365,107.0031,179.925
370,105.3641,179.9757
375,110.3106,179.98
380,104.8751,180.0
385,102.4361,180.0
390,103.8064,179.9857
395,99.781,180.0
400,110.4555,179.9714
405,104.3357,180.0
410,102.1677,179.9857
415,105.5315,179.9871
420,109.5039,180.0
425,103.5143,180.0
430,109.7172,179.9818
435,105.0309,180.0
440,107.6171,179.9758
445,104.4004,179.9537
450,103.9659,180.0
455,106.5386,179.9857
460,109.0515,180.0
465,106.6963,179.9833
470,114.2462,179.984
475,102.9592,180.0
480,111.102,179.9846
485,103.7675,179.9852
490,106.7807,179.975
495,101.0453,180.0
500,110.3106,179.9826
505,101.1754,180.0
510,100.1951,180.0
515,105.2763,180.0
520,103.4889,179.9717
525,102.4649,179.9778
530,100.9819,179.9846
535,98.8355,180.0
540,105.4663,180.0
545,102.9902,179.9867
550,107.1441,180.0
555,102.8414,179.9846
560,101.8769,180.0
565,93.9825,179.9852
570,109.6508,180.0
575,109.581,179.9826
580,100.9193,180.0
585,112.7474,179.9879
590,106.1122,179.9833
595,99.6544,180.0
600,96.4375,179.9846
605,100.646,179.9846
610,107.233,180.0
615,103.2798,179.9871
620,106.697,180.0
625,103.3719,180.0
630,106.5752,179.9478
635,103.8822,179.9658
640,98.2186,179.9879
645,102.4695,180.0
650,106.0081,179.9895
655,108.4519,180.0
660,105.6133,179.98
665,103.1586,180.0
670,107.984,179.952
675,110.5473,180.0
680,101.2379,180.0
685,110.0956,179.9867
690,100.5643,179.9857
695,92.0992,179.9692
700,100.4593,179.9708
705,109.1873,179.9879
710,104.5995,180.0
715,107.7224,179.9725
720,102.0003,180.0
725,109.2257,179.9857
730,101.4582,179.9871
735,101.788,180.0
740,98.6251,179.9879
745,103.9234,179.9697
750,94.8458,180.0
755,105.6917,180.0
760,102.8998,180.0
765,105.3453,180.0
770,100.4936,180.0
775,114.6584,179.98
780,108.2229,179.9692
785,97.9079,180.0
790,104.4552,180.0
795,104.174,179.9875
800,107.4078,179.9846
805,107.0039,180.0
810,105.523,179.9715
815,105.2116,180.0
820,99.5998,180.0
825,102.19,180.0
830,108.0443,179.9725
835,104.5431,180.0
840,106.5023,179.9852
845,110.0339,180.0
850,99.2121,179.9833
855,106.3228,180.0
860,103.9101,180.0
865,110.6661,179.9826
870,107.9708,179.9624
875,107.6331,180.0
880,100.8752,179.9889
885,103.792,180.0
890,99.5811,179.9833
895,100.6799,180.0
900,103.4247,179.9875
905,112.6783,179.9659
910,109.3447,179.9697
915,102.9357,179.98
920,108.8851,180.0
925,99.7865,179.9886
930,103.3393,180.0
935,104.8316,180.0
940,98.1542,180.0
945,101.4117,180.0
950,106.7842,179.9708
955,104.5231,179.9867
960,111.3269,179.9879
965,102.4758,179.98
970,106.6888,179.9753
975,106.7004,179.9487
980,108.2099,179.9871
985,96.6689,179.9879
990,99.6929,180.0
995,107.1813,179.9544
1000,116.1059,179.984
