;instance;arrival_pfizer;arrival_moderna;arrival_astrazeneca;capacity;first_doses_Pfizer;second_doses_Pfizer;stock_values_Pfizer;first_doses_Moderna;second_doses_Moderna;stock_values_Moderna;first_doses_Astrazeneca;second_doses_Astrazeneca;stock_values_Astrazeneca
0;1;0;0;10001503;4388947;0,0;0,0;0,0;0,0;0,0;0,0;4388947,0;0,0;5612556,0
1;2;0;0;0;4388947;0,0;0,0;0,0;0,0;0,0;0,0;4388947,0;0,0;1223609,0
2;3;0;0;0;4388947;0,0;0,0;0,0;0,0;0,0;0,0;1223609,0;0,0;0,0
3;4;9999461;0;0;4388947;4388947,0;0,0;5610514,0;0,0;0,0;0,0;0,0;0,0;0,0
4;5;0;0;0;4388947;4388947,0;0,0;1221567,0;0,0;0,0;0,0;0,0;0,0;0,0
5;6;0;0;0;4388947;1221567,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
6;7;0;0;10002159;4388947;0,0;0,0;0,0;0,0;0,0;0,0;4388947,0;0,0;5613212,0
7;8;0;0;0;4388947;0,0;0,0;0,0;0,0;0,0;0,0;366630,0;0,0;5246582,0
8;9;0;0;0;4388947;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5246582,0
9;10;0;0;0;4388947;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5246582,0
10;11;10006306;0;0;4388947;4388947,0;0,0;5617359,0;0,0;0,0;0,0;0,0;0,0;5246582,0
11;12;0;0;0;4388947;2328129,0;0,0;3289230,0;0,0;0,0;0,0;0,0;0,0;5246582,0
12;13;10000045;0;0;4388947;4388947,0;0,0;8900328,0;0,0;0,0;0,0;0,0;0,0;5246582,0
13;14;9995148;0;0;4388947;1847291,0;0,0;17048185,0;0,0;0,0;0,0;0,0;0,0;5246582,0
14;15;0;0;0;4388947;0,0;0,0;17048185,0;0,0;0,0;0,0;0,0;0,0;5246582,0
15;16;10008552;0;0;4388947;0,0;0,0;27056737,0;0,0;0,0;0,0;0,0;0,0;5246582,0
16;17;0;0;0;4388947;4388947,0;0,0;22667790,0;0,0;0,0;0,0;0,0;0,0;5246582,0
17;18;0;0;0;4388947;4131896,0;0,0;18535894,0;0,0;0,0;0,0;0,0;0,0;5246582,0
18;19;0;0;0;4388947;2939174,0;0,0;15596720,0;0,0;0,0;0,0;1449773,0;0,0;3796809,0
19;20;0;0;0;4388947;3549696,0;0,0;12047024,0;0,0;0,0;0,0;0,0;0,0;3796809,0
20;21;0;0;0;4388947;4388947,0;0,0;7658077,0;0,0;0,0;0,0;0,0;0,0;3796809,0
21;22;0;0;0;4388947;2541655,0;0,0;5116422,0;0,0;0,0;0,0;1847291,0;0,0;1949518,0
