,instance,arrival_pfizer,arrival_moderna,arrival_astrazeneca,first_doses_Pfizer,second_doses_Pfizer,stock_values_Pfizer,first_doses_Moderna,second_doses_Moderna,stock_values_Moderna,first_doses_Astrazeneca,second_doses_Astrazeneca,stock_values_Astrazeneca,capacity
0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59999610
1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59999610
2,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59999610
3,4,0,0,10004070,0.0,0.0,0.0,0.0,0.0,0.0,10004070.0,0.0,0.0,59999610
4,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59999610
5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59999610
6,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59999610
7,8,0,10004631,0,0.0,0.0,0.0,10004630.0,0.0,1.0,0.0,0.0,0.0,59999610
8,9,9998717,0,0,9998717.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59999610
9,10,9995891,9995321,9997526,9987119.0,0.0,8772.0,9995321.0,0.0,1.0,5000462.0,0.0,4997064.0,59999610
10,11,0,0,0,0.0,0.0,8772.0,0.0,0.0,1.0,0.0,0.0,4997064.0,59999610
11,12,0,0,0,8772.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4997064.0,59999610
12,13,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4997064.0,59999610
13,14,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4997064.0,59999610
14,15,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4997064.0,59999610
15,16,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4997064.0,59999610
16,17,9996731,0,0,9996730.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4997064.0,59999610
17,18,0,9999103,10003611,0.0,0.0,1.0,9999104.0,0.0,0.0,0.0,0.0,15000675.0,59999610
18,19,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15000675.0,59999610
19,20,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15000675.0,59999610
20,21,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15000675.0,59999610
21,22,0,10005257,0,0.0,0.0,1.0,10005257.0,0.0,0.0,0.0,0.0,15000675.0,59999610
22,23,0,10002769,0,1.0,0.0,0.0,4989896.0,0.0,5012873.0,0.0,0.0,15000675.0,59999610
23,24,0,0,0,0.0,0.0,0.0,0.0,0.0,5012873.0,0.0,0.0,15000675.0,59999610
24,25,0,0,0,0.0,0.0,0.0,0.0,0.0,5012873.0,0.0,0.0,15000675.0,59999610
25,26,9997614,9996195,0,9997614.0,0.0,0.0,0.0,0.0,15009068.0,0.0,0.0,15000675.0,59999610
26,27,10005876,0,10004913,10005875.0,0.0,1.0,0.0,0.0,15009068.0,0.0,0.0,25005588.0,59999610
27,28,0,0,10003177,1.0,0.0,0.0,0.0,0.0,15009068.0,0.0,0.0,35008765.0,59999610
28,29,10000082,0,10001647,8611.0,0.0,9991471.0,0.0,0.0,15009068.0,0.0,0.0,45010412.0,59999610
29,30,9994366,0,0,0.0,9998717.0,9987120.0,0.0,0.0,15009068.0,0.0,0.0,45010412.0,59999610
30,31,0,9994239,0,0.0,9987119.0,1.0,0.0,0.0,25003307.0,0.0,0.0,45010412.0,59999610
31,32,0,0,10001348,1.0,0.0,0.0,0.0,0.0,25003307.0,0.0,0.0,55011760.0,59999610
32,33,10007779,0,0,9999007.0,8772.0,0.0,0.0,0.0,25003307.0,0.0,0.0,55011760.0,59999610
33,34,0,0,0,0.0,0.0,0.0,0.0,0.0,25003307.0,0.0,0.0,55011760.0,59999610
34,35,0,0,0,0.0,0.0,0.0,0.0,0.0,25003307.0,0.0,0.0,55011760.0,59999610
35,36,0,10000841,0,0.0,0.0,0.0,0.0,10004630.0,24999518.0,0.0,0.0,55011760.0,59999610
36,37,10001764,0,0,0.0,0.0,10001764.0,7602.0,0.0,24991916.0,0.0,0.0,55011760.0,59999610
37,38,0,0,0,0.0,9996730.0,5034.0,0.0,9995321.0,14996595.0,9997799.0,0.0,45013961.0,59999610
38,39,0,0,9994157,0.0,0.0,5034.0,0.0,0.0,14996595.0,0.0,0.0,55008118.0,59999610
39,40,0,0,0,0.0,0.0,5034.0,0.0,0.0,14996595.0,0.0,0.0,55008118.0,59999610
40,41,0,0,0,0.0,0.0,5034.0,0.0,0.0,14996595.0,0.0,0.0,55008118.0,59999610
41,42,10001529,0,0,9998744.0,0.0,7819.0,0.0,0.0,14996595.0,0.0,0.0,55008118.0,59999610
42,43,0,0,0,0.0,0.0,7819.0,0.0,0.0,14996595.0,0.0,0.0,55008118.0,59999610
43,44,10001659,0,10001460,0.0,1.0,10009477.0,0.0,0.0,14996595.0,0.0,0.0,65009578.0,59999610
44,45,0,0,10002772,5569.0,0.0,10003908.0,0.0,0.0,14996595.0,0.0,0.0,75012350.0,59999610
45,46,0,0,9994713,0.0,0.0,10003908.0,0.0,9999104.0,4997491.0,9996142.0,0.0,75010921.0,59999610
46,47,0,0,0,0.0,9997614.0,6294.0,0.0,0.0,4997491.0,9999521.0,0.0,65011400.0,59999610
47,48,9999582,0,0,0.0,10005875.0,1.0,0.0,0.0,4997491.0,10002467.0,0.0,55008933.0,59999610
