,instance,arrival_pfizer,arrival_moderna,arrival_astrazeneca,first_doses_Pfizer,second_doses_Pfizer,stock_values_Pfizer,first_doses_Moderna,second_doses_Moderna,stock_values_Moderna,first_doses_Astrazeneca,second_doses_Astrazeneca,stock_values_Astrazeneca,capacity
0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4333239
1,2,0,0,10001401,0.0,0.0,0.0,0.0,0.0,0.0,3057759.0,0.0,6943642.0,4333239
2,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2939816.0,0.0,4003826.0,4333239
3,4,0,0,10001352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14005178.0,4333239
4,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14005178.0,4333239
5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14005178.0,4333239
6,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14005178.0,4333239
7,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14005178.0,4333239
8,9,9999056,0,0,4333239.0,0.0,5665817.0,0.0,0.0,0.0,0.0,0.0,14005178.0,4333239
9,10,0,0,0,4333239.0,0.0,1332578.0,0.0,0.0,0.0,0.0,0.0,14005178.0,4333239
10,11,0,0,0,1332578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14005178.0,4333239
11,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14005178.0,4333239
12,13,0,10001594,0,0.0,0.0,0.0,4333239.0,0.0,5668355.0,0.0,0.0,14005178.0,4333239
13,14,10000030,0,0,487.0,0.0,9999543.0,4332752.0,0.0,1335603.0,0.0,0.0,14005178.0,4333239
14,15,0,9996053,0,0.0,0.0,9999543.0,2180186.0,0.0,9151470.0,0.0,0.0,14005178.0,4333239
15,16,0,10000279,9997743,0.0,0.0,9999543.0,0.0,0.0,19151749.0,0.0,0.0,24002921.0,4333239
16,17,0,0,0,0.0,0.0,9999543.0,0.0,0.0,19151749.0,0.0,0.0,24002921.0,4333239
17,18,0,0,0,0.0,0.0,9999543.0,4333239.0,0.0,14818510.0,0.0,0.0,24002921.0,4333239
18,19,0,0,0,0.0,0.0,9999543.0,4333239.0,0.0,10485271.0,0.0,0.0,24002921.0,4333239
19,20,0,9995578,0,0.0,0.0,9999543.0,1330768.0,0.0,19150081.0,0.0,0.0,24002921.0,4333239
20,21,0,10001992,0,0.0,0.0,9999543.0,3308605.0,0.0,25843468.0,0.0,0.0,24002921.0,4333239
21,22,0,0,0,0.0,0.0,9999543.0,459803.0,0.0,25383665.0,0.0,0.0,24002921.0,4333239
22,23,0,0,0,0.0,0.0,9999543.0,4333239.0,0.0,21050426.0,0.0,0.0,24002921.0,4333239
23,24,0,0,9999307,0.0,0.0,9999543.0,4223390.0,0.0,16827036.0,0.0,0.0,34002228.0,4333239
24,25,0,0,0,0.0,0.0,9999543.0,2327670.0,0.0,14499366.0,0.0,0.0,34002228.0,4333239
25,26,0,0,0,0.0,0.0,9999543.0,4333239.0,0.0,10166127.0,0.0,0.0,34002228.0,4333239
26,27,0,0,0,0.0,0.0,9999543.0,3549952.0,0.0,6616175.0,783287.0,0.0,33218941.0,4333239
27,28,0,0,0,0.0,0.0,9999543.0,3549952.0,0.0,3066223.0,783286.0,0.0,32435655.0,4333239
28,29,0,0,0,0.0,0.0,9999543.0,56693.0,0.0,3009530.0,4276546.0,0.0,28159109.0,4333239
29,30,0,0,0,0.0,4333239.0,5666304.0,0.0,0.0,3009530.0,0.0,0.0,28159109.0,4333239
30,31,0,0,10004116,0.0,4333239.0,1333065.0,0.0,0.0,3009530.0,0.0,0.0,38163225.0,4333239
31,32,0,10002323,0,0.0,1332578.0,487.0,1504835.0,0.0,11507018.0,1495826.0,0.0,36667399.0,4333239
32,33,0,0,0,0.0,0.0,487.0,509743.0,0.0,10997275.0,3823496.0,0.0,32843903.0,4333239
33,34,0,0,0,0.0,0.0,487.0,0.0,0.0,10997275.0,2345347.0,0.0,30498556.0,4333239
34,35,0,0,0,0.0,487.0,0.0,151098.0,0.0,10846177.0,3493259.0,0.0,27005297.0,4333239
35,36,0,0,0,0.0,0.0,0.0,0.0,0.0,10846177.0,4333239.0,0.0,22672058.0,4333239
36,37,0,0,0,0.0,0.0,0.0,0.0,0.0,10846177.0,4333239.0,0.0,18338819.0,4333239
37,38,0,0,9993687,0.0,0.0,0.0,0.0,0.0,10846177.0,4333239.0,0.0,23999267.0,4333239
38,39,0,0,0,0.0,0.0,0.0,0.0,0.0,10846177.0,0.0,0.0,23999267.0,4333239
39,40,0,0,0,0.0,0.0,0.0,0.0,0.0,10846177.0,1.0,0.0,23999266.0,4333239
40,41,0,0,0,0.0,0.0,0.0,0.0,4333239.0,6512938.0,0.0,0.0,23999266.0,4333239
41,42,0,0,0,0.0,0.0,0.0,0.0,4332752.0,2180186.0,0.0,0.0,23999266.0,4333239
42,43,0,0,0,0.0,0.0,0.0,0.0,2180186.0,0.0,0.0,0.0,23999266.0,4333239
43,44,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23999266.0,4333239
44,45,0,0,10002725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34001991.0,4333239
45,46,0,9997246,0,0.0,0.0,0.0,0.0,4333239.0,5664007.0,0.0,0.0,34001991.0,4333239
46,47,0,0,0,0.0,0.0,0.0,0.0,4333239.0,1330768.0,0.0,0.0,34001991.0,4333239
47,48,0,0,0,0.0,0.0,0.0,0.0,1330768.0,0.0,3002471.0,0.0,30999520.0,4333239
48,49,9996149,9991995,0,0.0,0.0,9996149.0,0.0,3308605.0,6683390.0,1024634.0,0.0,29974886.0,4333239
49,50,0,0,0,0.0,0.0,9996149.0,0.0,459803.0,6223587.0,3873436.0,0.0,26101450.0,4333239
50,51,0,0,0,0.0,0.0,9996149.0,0.0,4333239.0,1890348.0,0.0,0.0,26101450.0,4333239
51,52,0,9999144,0,0.0,0.0,9996149.0,0.0,4223390.0,7666102.0,109849.0,0.0,25991601.0,4333239
52,53,10006003,9995676,0,0.0,0.0,20002152.0,0.0,2327670.0,15334108.0,2005569.0,0.0,23986032.0,4333239
53,54,0,0,0,0.0,0.0,20002152.0,0.0,4333239.0,11000869.0,0.0,0.0,23986032.0,4333239
54,55,0,0,0,783287.0,0.0,19218865.0,0.0,3549952.0,7450917.0,0.0,0.0,23986032.0,4333239
55,56,0,0,0,783287.0,0.0,18435578.0,0.0,3549952.0,3900965.0,0.0,0.0,23986032.0,4333239
56,57,0,0,0,783286.0,0.0,17652292.0,0.0,56693.0,3844272.0,3493260.0,0.0,20492772.0,4333239
57,58,0,0,0,3829976.0,0.0,13822316.0,503262.0,0.0,3341010.0,0.0,0.0,20492772.0,4333239
58,59,0,0,0,0.0,0.0,13822316.0,0.0,0.0,3341010.0,4333239.0,0.0,16159533.0,4333239
59,60,0,0,0,0.0,0.0,13822316.0,816689.0,1504835.0,1019486.0,2011715.0,0.0,14147818.0,4333239
60,61,0,0,0,3823496.0,0.0,9998820.0,0.0,509743.0,509743.0,0.0,0.0,14147818.0,4333239
61,62,0,0,0,3823496.0,0.0,6175324.0,509743.0,0.0,0.0,0.0,0.0,14147818.0,4333239
62,63,0,10003063,0,2345347.0,0.0,3829977.0,1185487.0,151098.0,8666478.0,651307.0,0.0,13496511.0,4333239
