Capacity,Optimal value,Heuristic value,Heuristic risk value,Heuristic 7 risk value,Heuristic 14 risk value,Heuristic 21 risk value,Result difference,Heuristic q-1 risk difference,Heuristic q-7 risk difference,Heuristic q-14 risk difference,Heuristic q-21 risk difference,Optimal rem. stocks,Heuristic rem. stocks,Heuristic q-1 risk rem.,Heuristic q-7 risk rem.,Heuristic q-14 risk rem.,Heuristic q-21 ris rem. stocks,Stocks difference,Stocks q-1 risk difference,Stocks q-7 risk difference,Stocks q-14 risk difference,Stocks q-21 risk difference
1 c,124.0,236.79,111.87,111.81,111.63,111.56,0.4763,-0.1084,-0.1091,-0.1109,-0.1115,0,0,-272950489.01,-239037257.98,-205186279.27,-179213737.6,0,1.0,1.0,1.0,1.0
1.1 c,121.32,222.71,111.86,111.75,111.53,111.45,0.4552,-0.0846,-0.0857,-0.0878,-0.0886,0,0,-334787977.49,-292180090.97,-254576684.74,-225709293.61,0,1.0,1.0,1.0,1.0
1.2 c,120.13,212.79,111.83,111.64,111.42,111.33,0.4354,-0.0743,-0.0761,-0.0782,-0.0791,0,0,-385097804.43,-336367336.51,-292227334.46,-259301675.27,0,1.0,1.0,1.0,1.0
1.3 c,119.52,205.85,111.73,111.54,111.31,111.19,0.4194,-0.0697,-0.0715,-0.0737,-0.0749,0,0,-425883764.2,-372670203.68,-323859786.4,-289117602.8,0,1.0,1.0,1.0,1.0
1.4 c,119.15,201.64,111.66,111.41,111.2,111.09,0.4091,-0.0671,-0.0695,-0.0716,-0.0726,0,0,-462697197.02,-401114988.31,-345129649.01,-313243832.74,0,1.0,1.0,1.0,1.0
1.5 c,118.9,199.26,111.54,111.29,111.1,110.95,0.4033,-0.0659,-0.0684,-0.0702,-0.0716,0,0,-490934281.79,-419703539.42,-361518776.37,-330581036.28,0,1.0,1.0,1.0,1.0
1.6 c,118.69,197.59,111.42,111.18,111.02,110.84,0.3993,-0.0652,-0.0675,-0.0691,-0.0708,0,0,-512167050.24,-436965608.79,-373820784.58,-346843089.87,0,1.0,1.0,1.0,1.0
1.7 c,118.51,196.23,111.32,111.09,110.93,110.73,0.396,-0.0646,-0.0668,-0.0684,-0.0703,0,0,-528883257.85,-449822197.26,-386701873.37,-362027240.48,0,1.0,1.0,1.0,1.0
1.8 c,118.36,195.17,111.23,110.99,110.82,110.64,0.3936,-0.0642,-0.0664,-0.068,-0.0698,0,0,-542775704.19,-460295973.18,-398362700.38,-375541197.86,0,1.0,1.0,1.0,1.0
1.9 c,118.25,194.33,111.15,110.9,110.73,110.57,0.3915,-0.0639,-0.0663,-0.0679,-0.0694,0,0,-554543789.59,-470162141.06,-409461588.46,-388036280.19,0,1.0,1.0,1.0,1.0
2.0 c,118.14,193.64,111.07,110.81,110.63,110.49,0.3899,-0.0637,-0.0661,-0.0679,-0.0692,0,0,-561754916.5,-479358365.01,-417459969.8,-398227910.42,0,1.0,1.0,1.0,1.0
2.1 c,118.05,193.09,110.99,110.73,110.55,110.43,0.3886,-0.0636,-0.0661,-0.0679,-0.069,0,0,-567087943.29,-485846216.47,-425195656.55,-406596533.4,0,1.0,1.0,1.0,1.0
2.2 c,117.98,192.61,110.93,110.66,110.47,110.38,0.3874,-0.0636,-0.0661,-0.068,-0.0689,0,0,-572160967.77,-490023180.67,-430299824.54,-413344246.9,0,1.0,1.0,1.0,1.0
2.3 c,117.94,192.19,110.88,110.6,110.41,110.32,0.3863,-0.0637,-0.0663,-0.0681,-0.0691,0,0,-577009021.9,-492914880.46,-434131796.46,-417862072.88,0,1.0,1.0,1.0,1.0
2.4 c,117.91,191.82,110.83,110.56,110.36,110.28,0.3853,-0.0639,-0.0665,-0.0684,-0.0692,0,0,-581061699.53,-495472519.2,-438692320.0,-423505395.25,0,1.0,1.0,1.0,1.0
