Capacity,LP model,Conservative heuristic,Heuristic 1-days-ahead risk,Heuristic 7-days-ahead risk,Heuristic 14-days-ahead risk,Heuristic 21-days-ahead risk,LP model stocks,Conservative heuristic stocks,Heuristic q-1 risk stocks,Heuristic q-7 risk stocks,Heuristic q-14 risk stocks,Heuristic q-21 risk stocks,Heuristic 1-days-ahead negative on arrival,Heuristic 7-days-ahead negative on arrival,Heuristic 14-days-ahead negative on arrival,Heuristic 21-days-ahead negative on arrival,Heuristic 1-days-ahead negative days,Heuristic 7-days-ahead negative days,Heuristic 14-days-ahead negative days,Heuristic 21-days-ahead negative days,LP model utilization,Heuristic utilization,Heuristic 1-days-ahead utilization,Heuristic 7-days-ahead utilization,Heuristic 14-days-ahead utilization,Heuristic 21-days-ahead utilization,Heuristic 1-days-ahead min negative,Heuristic 7-days-ahead min negative,Heuristic 14-days-ahead min negative,Heuristic 21-days-ahead min negative
1 c,123.09,178.39,175.73,178.33,184.52,190.55,0,0,0,0,0,0,0.41688,0.31055,0.20632,0.16519,0.2382,0.1818,0.1193,0.0925,0.46471,0.39956,0.40271,0.39863,0.38854,0.37915,-55505068.880000025,-55505068.880000025,-55505068.880000025,-53965034.12000003
1.5 c,117.35,142.15,135.8,141.84,151.49,159.17,0,0,0,0,0,0,2.3741,1.67796,1.14736,0.96562,0.8236,0.5911,0.388,0.2994,0.49128,0.45194,0.45769,0.4494,0.43504,0.42392,-118115259.2200002,-109645528.06000018,-109645528.06000018,-109645528.06000018
2.0 c,116.57,134.94,125.83,133.99,143.72,151.75,0,0,0,0,0,0,3.78308,2.5461,1.7419,1.4787,1.082,0.7716,0.5174,0.3994,0.49391,0.46211,0.47047,0.45925,0.44518,0.43335,-131596072.44,-120020344.00000001,-120009453.00000001,-120009453.00000001
2.5 c,116.28,132.62,122.16,131.14,140.67,148.87,0,0,0,0,0,0,4.48705,2.98716,2.07315,1.75547,1.1811,0.8479,0.5859,0.4497,0.49477,0.46546,0.47506,0.46265,0.44884,0.43684,-134606909.51999992,-134606909.51999992,-134606909.51999992,-134606909.51999992
3.0 c,116.17,131.59,120.45,129.63,138.85,147.42,0,0,0,0,0,0,4.84592,3.22933,2.2664,1.90848,1.2175,0.879,0.6155,0.4723,0.49506,0.4669,0.47717,0.46449,0.45116,0.43854,-139978111.0,-139978111.0,-139978111.0,-139978111.0
3.5 c,116.1,131.1,119.49,128.63,137.74,145.9,0,0,0,0,0,0,5.05621,3.38615,2.39176,2.00715,1.2485,0.9073,0.6434,0.4965,0.49522,0.46756,0.47832,0.46577,0.45257,0.44056,-139986579.9999999,-139981810.9999999,-139981810.9999999,-139981810.9999999
4.0 c,116.06,130.83,119.0,128.08,137.1,144.74,0,0,0,0,0,0,5.16646,3.47517,2.47309,2.07927,1.2632,0.9227,0.6586,0.5108,0.49529,0.46792,0.47886,0.46643,0.45333,0.44208,-139986580.0,-139981811.0,-139981811.0,-139981811.0
4.5 c,116.03,130.68,118.65,127.7,136.57,144.24,0,0,0,0,0,0,5.24146,3.53835,2.5319,2.12718,1.2686,0.9286,0.6666,0.5148,0.49533,0.46812,0.47926,0.46687,0.45402,0.44263,-139986579.99999994,-139981810.99999994,-139981810.99999994,-139981810.99999994
5.0 c,116.02,130.6,118.38,127.43,136.16,143.85,0,0,0,0,0,0,5.30012,3.5872,2.58054,2.16447,1.2719,0.9339,0.6698,0.5179,0.49534,0.46822,0.4796,0.46717,0.45455,0.44313,-139986580.0,-139981811.0,-139981811.0,-139981811.0
5.5 c,116.02,130.56,118.15,127.21,135.82,143.54,0,0,0,0,0,0,5.34886,3.62982,2.62388,2.19863,1.2733,0.9353,0.672,0.52,0.49535,0.46827,0.47986,0.46741,0.45499,0.4435,-139986580.0,-139981811.0,-139981811.0,-139981811.0
6.0 c,116.02,130.53,117.94,127.01,135.55,143.25,0,0,0,0,0,0,5.39307,3.6703,2.66398,2.23055,1.2771,0.9398,0.677,0.5213,0.49536,0.46831,0.48009,0.4676,0.4553,0.44384,-139986580.0,-139981811.0,-139981811.0,-139981811.0
6.5 c,116.01,130.52,117.8,126.86,135.34,143.03,0,0,0,0,0,0,5.42607,3.70155,2.69385,2.25522,1.282,0.952,0.6859,0.5292,0.49536,0.46833,0.48023,0.46776,0.45553,0.44412,-139986580.0,-139981811.0,-139981811.0,-139981811.0
7.0 c,116.01,130.51,117.73,126.77,135.22,142.87,0,0,0,0,0,0,5.44506,3.71975,2.71125,2.26953,1.2867,0.9609,0.695,0.5351,0.49536,0.46834,0.4803,0.46785,0.45567,0.44433,-140015365.0,-139981811.0,-139981811.0,-139981811.0
7.5 c,116.01,130.51,117.7,126.73,135.15,142.84,0,0,0,0,0,0,5.45326,3.72818,2.71921,2.27662,1.2907,0.9676,0.7013,0.5402,0.49536,0.46834,0.48032,0.46789,0.45575,0.44431,-140015365.0,-139981811.0,-139981811.0,-139981811.0
