instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value,2c vs c,3c vs 2c,4c vs 3c,5c vs 4c,6c vs 5c,7c vs 6c,8c vs 7c,9c vs 8c,10c vs 9c ,,Valori medi,
1,98975991350,48362596799,48245388451,48218643777,48209785120,48209785120,48209785120,48209785120,48209785126,48209785126,"104,65%","0,24%","0,06%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
2,115542766668,47669464345,47547586637,47510913935,47497615515,47497615531,47497615523,47497615523,47497615543,47497615561,"142,38%","0,26%","0,08%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,2c-c,"84,18%"
3,81812669275,43500348853,43368408827,43338680108,43325127902,43320906007,43316684112,43316246177,43316246160,43316248007,"88,07%","0,30%","0,07%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,3c-2c,"3,41%"
4,91442212956,51365592327,50667467020,50633872395,50628302196,50628302196,50628302196,50628302196,50628302196,50628302196,"78,02%","1,38%","0,07%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,4c-3c,"0,73%"
5,87814636838,50942059841,50861022546,50826037819,50821033803,50816033800,50816032224,50816032269,50816032269,50816032202,"72,38%","0,16%","0,07%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,5c-4c,"0,18%"
6,82208938091,51585156148,51495132107,51437431855,51437431879,51437431796,51437431796,51437431796,51437431796,51437431867,"59,37%","0,17%","0,11%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,6c-5c,"0,04%"
7,62260272328,42718731081,42457748082,42398964500,42370053021,42370053024,42370053024,42370053065,42370053046,42370053046,"45,74%","0,61%","0,14%","0,07%","0,00%","0,00%","0,00%","0,00%","0,00%",,7c-6c,"0,01%"
8,"128978520647,999",113901440144,111379172792,111332385810,111318171234,111318171235,111318171311,111318169418,111318171219,111318169399,"13,24%","2,26%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,8c-7c,"0,00%"
9,147555093464,56010369480,55885319743,55845338634,55845331669,55845331623,55845331689,55845331648,55845331640,55845331691,"163,44%","0,22%","0,07%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,9c-8c,"0,00%"
10,169774971414,73122430102,72997992758,72947393181,72945197717,72945195855,72945195830,72945197717,72945195965,72945195965,"132,18%","0,17%","0,07%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,10c-9c,"0,00%"
11,149374655821,53174853283,53041599700,53006300262,53000771324,53000771276,53000771319,53000771308,53000771284,53000771317,"180,91%","0,25%","0,07%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
12,98994006548,50292689547,50193577760,50154467568,50140243564,50140243558,50140243647,50140243590,50140243532,50140243603,"96,84%","0,20%","0,08%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
13,91093473919,44064972604,43864905523,43826969981,43814748964,43814748964,43814749022,43814748974,43814748974,43814748969,"106,73%","0,46%","0,09%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
14,63185989414,39218310879,39089359217,39053858814,39033882543,39033871470,39033871444,39033873226,39033871467,39033871464,"61,11%","0,33%","0,09%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
15,73018167024,41813529657,39808562555,39782407893,39766628147,39765537420,39765537485,39765537401,39765537443,39765537401,"74,63%","5,04%","0,07%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
16,111392021885,69098498765,67271104832,67212556930,67197334739,67192779200,67190110782,67190110810,67190110805,67190110813,"61,21%","2,72%","0,09%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
17,97184067829,60767926804,47891187971,47728986741,47673899125,47673899121,47673899098,47673899098,47673899098,47673899098,"59,93%","26,89%","0,34%","0,12%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
18,92449237721,46559104187,46435811936,46400460083,46381800758,46381800742,46381800757,46381800697,46381800758,46381800718,"98,56%","0,27%","0,08%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
19,85661549502,71061424367,70920633973,70898136898,70887311210,70883144458,70878977750,70878139253,70878139253,70878139285,"20,55%","0,20%","0,03%","0,02%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
20,92301552168,49999017380,49900749924,49863525523,49855758029,49855758019,49855758027,49855758043,49855758011,49855758016,"84,61%","0,20%","0,07%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
21,111325953410,57052511411,56927673130,56889897019,56876398213,56873611727,56866342061,56865678853,56870946255,56865678853,"95,13%","0,22%","0,07%","0,02%","0,00%","0,01%","0,00%","-0,01%","0,01%",,,
22,100103553219,59722740562,54813405421,54763759330,54742443974,54742443974,54742443974,54742443974,54742443974,54742443974,"67,61%","8,96%","0,09%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
23,95120047755,45342719593,45171865540,45127736586,45113572257,45109405611,45105238978,45104406000,45104406000,45104406013,"109,78%","0,38%","0,10%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
24,99727623733,45658246228,45495237596,45454245139,45436562184,45432228933,45428226652,45428226652,45428226712,45428226668,"118,42%","0,36%","0,09%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
