instance,c_optimal_value,1.1c_optimal_value,1.2c_optimal_value,1.3c_optimal_value,1.4c_optimal_value,1.5c_optimal_value,1.6c_optimal_value,1.7c_optimal_value,1.8c_optimal_value,1.9c_optimal_value,2c_optimal_value,"28,75%","12,28%","6,52%","4,97%","2,90%","2,15%","1,66%","1,29%","1,00%","0,90%"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"549866618,611111","360695358,916667","295274331,561111","272302320,616667","271196180,388889","270385602,233333","269877209,055556","269519621,094444","269190833,694444","268906421,155556","268681093,327778","52,45%","22,16%","8,44%","0,41%","0,30%","0,19%","0,13%","0,12%","0,11%","0,08%"
,"641904259,266667","406065849,811111","358228024,388889","310878803,983333","280502526,322222","266708920,144444","266184826,827778","265744970,977778","265322773,655556","265055425,277778","264830357,472222","58,08%","13,35%","15,23%","10,83%","5,17%","0,20%","0,17%","0,16%","0,10%","0,08%"
,"454514829,305556","274423987,322222","248535966,727778","245509725,905556","244090553,883333","243239458,555556","242741877,383333","242389514,905556","242095865,4","241873504,961111","241668604,738889","65,63%","10,42%","1,23%","0,58%","0,35%","0,20%","0,15%","0,12%","0,09%","0,08%"
,"508012294,2","431348407,472222","388962672,377778","347316168,355556","319290684,894444","307104278,394444","296256054,35","293473003,583333","290728932,894444","288030638,033333","285364401,816667","17,77%","10,90%","11,99%","8,78%","3,97%","3,66%","0,95%","0,94%","0,94%","0,93%"
,"487859093,544444","426224670,45","365695931,638889","305876634,022222","299995803,472222","296944867,577778","294044105,838889","291234350,072222","288474716,9","285741400,461111","283011443,561111","14,46%","16,55%","19,56%","1,96%","1,03%","0,99%","0,96%","0,96%","0,96%","0,96%"
,"456716322,727778","373586946,15","356912956,516667","341079491,533333","325516090,822222","311773832,6","306441512,872222","301184644,144444","295933230,566667","290685369,983333","286584200,822222","22,25%","4,67%","4,64%","4,78%","4,41%","1,74%","1,75%","1,77%","1,81%","1,43%"
,"345890401,822222","270306355,483333","250674120,116667","241502315,672222","240399892,055556","239544241,972222","238986222,577778","238510711,738889","238084792,988889","237690515,361111","237326283,783333","27,96%","7,83%","3,80%","0,46%","0,36%","0,23%","0,20%","0,18%","0,17%","0,15%"
,"716547336,933329","698396670,027778","690373843,283333","682778045,055556","675412839,422222","668155251,6","660977619,2","653846403,727778","646768027,555556","639773613,95","632785778,577778","2,60%","1,16%","1,11%","1,09%","1,09%","1,09%","1,09%","1,09%","1,09%","1,10%"
,"819750519,244445","606229943,705556","425600330,994444","391816313,516667","358695412,883333","338072929,527778","332567058,672222","327159376,422222","321806738,111111","316454098,95","311168719,333333","35,22%","42,44%","8,62%","9,23%","6,10%","1,66%","1,65%","1,66%","1,69%","1,70%"
,"943194285,633333","729042290,422222","562740726,088889","481793711,444444","409258799,883333","408391397,761111","407756936,133333","407228296,905556","406860228,294444","406540632,433333","406235722,788889","29,37%","29,55%","16,80%","17,72%","0,21%","0,16%","0,13%","0,09%","0,08%","0,08%"
